"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"7/12/2020, Pacific Time",915095,911741,681389,-164000
CAL,"7/13/2020, Pacific Time",943298,948477,690084,-179895
CAL,"7/14/2020, Pacific Time",878941,883787,630443,-175490
CAL,"7/15/2020, Pacific Time",862049,858165,605895,-180281
CAL,"7/16/2020, Pacific Time",848264,866217,588497,-177110
CAL,"7/17/2020, Pacific Time",851201,867001,576542,-188414
CAL,"7/18/2020, Pacific Time",825074,824259,552578,-192168
CAL,"7/19/2020, Pacific Time",791140,810965,560466,-159187
CAL,"7/20/2020, Pacific Time",844738,872971,604727,-158904
CAL,"7/21/2020, Pacific Time",846339,853385,577577,-181610
CAL,"7/22/2020, Pacific Time",816773,822970,524563,-206878
CAL,"7/23/2020, Pacific Time",801178,809733,510925,-207803
CAL,"7/24/2020, Pacific Time",807614,792952,508866,-216963
CAL,"7/25/2020, Pacific Time",786281,765713,509133,-198924
CAL,"7/26/2020, Pacific Time",787701,787657,543846,-174236
CAL,"7/27/2020, Pacific Time",854827,874357,656476,-119234
CAL,"7/28/2020, Pacific Time",856684,876937,631452,-146758
CAL,"7/29/2020, Pacific Time",859432,895792,645211,-133436
CAL,"7/30/2020, Pacific Time",893160,937327,668863,-141054
CAL,"7/31/2020, Pacific Time",923477,961512,682622,-157747
CAL,"8/1/2020, Pacific Time",860981,914556,631080,-157856
CAL,"8/2/2020, Pacific Time",822909,858206,596200,-155298
CAL,"8/3/2020, Pacific Time",896916,927818,663858,-152976
CAL,"8/4/2020, Pacific Time",861135,870074,608456,-172350
CAL,"8/5/2020, Pacific Time",812857,821748,568465,-168321
CAL,"8/6/2020, Pacific Time",796660,783846,527876,-193590
CAL,"8/7/2020, Pacific Time",815713,793262,526024,-214463
CAL,"8/8/2020, Pacific Time",800096,788945,523329,-203397
CAL,"8/9/2020, Pacific Time",796726,804910,553081,-175344
CAL,"8/10/2020, Pacific Time",872575,870373,614624,-176364
CAL,"8/11/2020, Pacific Time",853679,859531,595607,-183338
CAL,"8/12/2020, Pacific Time",895691,886738,642462,-178591
CAL,"8/13/2020, Pacific Time",963043,959590,697244,-182399
CAL,"8/14/2020, Pacific Time",1053336,1048073,772398,-201815
CAL,"8/15/2020, Pacific Time",1054911,1031290,772831,-199548
CAL,"8/16/2020, Pacific Time",1020083,1012449,763075,-189919
CAL,"8/17/2020, Pacific Time",1078600,1119102,823169,-179818
CAL,"8/18/2020, Pacific Time",1100777,1140789,824727,-205705
CAL,"8/19/2020, Pacific Time",1095695,1098580,807930,-203382
CAL,"8/20/2020, Pacific Time",1026955,1077741,753845,-185729
CAL,"8/21/2020, Pacific Time",1011929,1050049,712241,-227199
CAL,"8/22/2020, Pacific Time",981660,920559,707817,-206623
CAL,"8/23/2020, Pacific Time",946686,943854,692681,-194324
CAL,"8/24/2020, Pacific Time",1019608,1029083,810153,-185515
CAL,"8/25/2020, Pacific Time",985419,1023222,790569,-181368
CAL,"8/26/2020, Pacific Time",962846,1025841,754640,-192733
CAL,"8/27/2020, Pacific Time",945747,979995,740820,-189762
CAL,"8/28/2020, Pacific Time",912276,932477,705987,-191187
CAL,"8/29/2020, Pacific Time",820710,845247,609061,-187850
CAL,"8/30/2020, Pacific Time",774037,800329,562413,-187419
CAL,"8/31/2020, Pacific Time",846868,865532,617231,-212849
CAL,"9/1/2020, Pacific Time",835756,854356,618832,-199516
CAL,"9/2/2020, Pacific Time",835429,840264,632118,-185709
