"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CAL,"10/16/2016, Pacific Time",691190,662264,540531,-150690
CAL,"10/17/2016, Pacific Time",747287,742683,588893,-158414
CAL,"10/18/2016, Pacific Time",743602,754437,583593,-160039
CAL,"10/19/2016, Pacific Time",764807,786278,597028,-167800
CAL,"10/20/2016, Pacific Time",802694,816172,621012,-181686
CAL,"10/21/2016, Pacific Time",796042,794704,615951,-180094
CAL,"10/22/2016, Pacific Time",692482,718843,532448,-160048
CAL,"10/23/2016, Pacific Time",655751,681019,490026,-165738
CAL,"10/24/2016, Pacific Time",737089,762342,565064,-181987
CAL,"10/25/2016, Pacific Time",728677,743173,569380,-163902
CAL,"10/26/2016, Pacific Time",734420,739347,563535,-177915
CAL,"10/27/2016, Pacific Time",741048,748048,567537,-172732
CAL,"10/28/2016, Pacific Time",748818,748818,560873,-83645
CAL,"10/29/2016, Pacific Time",683760,683574,311087,-18248
CAL,"10/30/2016, Pacific Time",647858,647937,133216,-9579
CAL,"10/31/2016, Pacific Time",708124,711137,161229,-35886
CAL,"11/1/2016, Pacific Time",717910,718914,130029,-17085
CAL,"11/2/2016, Pacific Time",723032,721943,155988,-35003
CAL,"11/3/2016, Pacific Time",740504,739229,154100,-29847
CAL,"11/4/2016, Pacific Time",742244,742297,393228,-146394
CAL,"11/5/2016, Pacific Time",675052,677815,441792,-218865
CAL,"11/6/2016, Pacific Time",676269,601173,432203,-215597
CAL,"11/7/2016, Pacific Time",737227,722813,489763,-226135
CAL,"11/8/2016, Pacific Time",771966,757111,513221,-243666
CAL,"11/9/2016, Pacific Time",790355,773437,533917,-239008
CAL,"11/10/2016, Pacific Time",779437,771272,516535,-245215
CAL,"11/11/2016, Pacific Time",747114,748489,495023,-225605
CAL,"11/12/2016, Pacific Time",682728,682831,425770,-238518
CAL,"11/13/2016, Pacific Time",663779,660125,435394,-211614
CAL,"11/14/2016, Pacific Time",740115,738373,493392,-224512
CAL,"11/15/2016, Pacific Time",729118,743916,503704,-205497
CAL,"11/16/2016, Pacific Time",714553,718435,501912,-194197
CAL,"11/17/2016, Pacific Time",713294,716623,501872,-196270
CAL,"11/18/2016, Pacific Time",706564,717933,489767,-198660
CAL,"11/19/2016, Pacific Time",663489,657600,444201,-207448
CAL,"11/20/2016, Pacific Time",650201,643625,420216,-216257
CAL,"11/21/2016, Pacific Time",710184,708845,488840,-200789
CAL,"11/22/2016, Pacific Time",716167,718284,503773,-194717
CAL,"11/23/2016, Pacific Time",713709,721444,493597,-198871
CAL,"11/24/2016, Pacific Time",641377,651926,426689,-194078
CAL,"11/25/2016, Pacific Time",656835,663508,442313,-197423
CAL,"11/26/2016, Pacific Time",669390,668782,446791,-203685
CAL,"11/27/2016, Pacific Time",665107,668237,436472,-209144
CAL,"11/28/2016, Pacific Time",734207,730789,502011,-212403
CAL,"11/29/2016, Pacific Time",732876,730713,518435,-195697
CAL,"11/30/2016, Pacific Time",743961,735697,521984,-201196
CAL,"12/1/2016, Pacific Time",742262,746289,522956,-199216
CAL,"12/2/2016, Pacific Time",740492,735445,529971,-191170
CAL,"12/3/2016, Pacific Time",688189,681179,457124,-216706
CAL,"12/4/2016, Pacific Time",673531,654743,450284,-210021
CAL,"12/5/2016, Pacific Time",745062,737872,538831,-196775
CAL,"12/6/2016, Pacific Time",752011,750674,543202,-197055
CAL,"12/7/2016, Pacific Time",766775,755552,564237,-194834
CAL,"12/8/2016, Pacific Time",761697,754300,545726,-207295
CAL,"12/9/2016, Pacific Time",743706,740769,536481,-197855
CAL,"12/10/2016, Pacific Time",697514,678915,506976,-188080
CAL,"12/11/2016, Pacific Time",680411,663672,479340,-193540
CAL,"12/12/2016, Pacific Time",740279,736662,550099,-187422
CAL,"12/13/2016, Pacific Time",740072,748509,595513,-147102
CAL,"12/14/2016, Pacific Time",743683,739675,604897,-141704
CAL,"12/15/2016, Pacific Time",755594,747097,590364,-168395
CAL,"12/16/2016, Pacific Time",736448,736120,602322,-136067
CAL,"12/17/2016, Pacific Time",707756,694550,563299,-145964
CAL,"12/18/2016, Pacific Time",702442,693058,515678,-177363
CAL,"12/19/2016, Pacific Time",766224,754391,554179,-200754
CAL,"12/20/2016, Pacific Time",768957,748207,544023,-212498
CAL,"12/21/2016, Pacific Time",759568,740561,555602,-196257
CAL,"12/22/2016, Pacific Time",752505,738175,554610,-190910
CAL,"12/23/2016, Pacific Time",741624,746067,526847,-206155
CAL,"12/24/2016, Pacific Time",685131,690091,484869,-190254
CAL,"12/25/2016, Pacific Time",670864,659272,450615,-209030
CAL,"12/26/2016, Pacific Time",705485,713416,487125,-208225
CAL,"12/27/2016, Pacific Time",737719,743432,506054,-216795
CAL,"12/28/2016, Pacific Time",732711,721070,510555,-211581
CAL,"12/29/2016, Pacific Time",724055,714711,513584,-201870
CAL,"12/30/2016, Pacific Time",717514,718117,485055,-222694
CAL,"12/31/2016, Pacific Time",685786,681966,468504,-224982
